BBBAABBBB,BBBAAAABBBB
ABA,AABAA
ABBB,AABBB
AABB,AAAABB
BB,BB
BAABA,BAAAABAA
AABAA,AAAABAAAA
BABB,BAABB
BBAB,BBAAB
ABBAA,AABBAAAA
AABBABBB,AAAABBAABBB
BBAABBBAB,BBAAAABBBAAB
BBABBB,BBAABBB
BA,BAA
ABBAAAAAA,AABBAAAAAAAAAAAA
AABBBAAA,AAAABBBAAAAAA
AABAAAABB,AAAABAAAAAAAABB
AABBB,AAAABBB
AA,AAAA
ABAAB,AABAAAAB
AABBBAABA,AAAABBBAAAABAA
BBBAAB,BBBAAAAB
ABBAABB,AABBAAAABB
AABAAABBB,AAAABAAAAAABBB
B,B
BBA,BBAA
BBA,BBAA
BA,BAA
BBABAA,BBAABAAAA
B,B
ABBBB,AABBBB
ABBAA,AABBAAAA
AAABBBAA,AAAAAABBBAAAA
BA,BAA
A,AA
BAA,BAAAA
BABAB,BAABAAB
BAABAAA,BAAAABAAAAAA
ABBAAAA,AABBAAAAAAAA
BAA,BAAAA
BBAAA,BBAAAAAA
ABAABAB,AABAAAABAAB
BBBBABB,BBBBAABB
AABB,AAAABB
BABA,BAABAA
ABA,AABAA
AABBBBBA,AAAABBBBBAA
BBABA,BBAABAA
BAA,BAAAA
AAAAAABBB,AAAAAAAAAAAABBB
BA,BAA
BAAB,BAAAAB
ABBABB,AABBAABB
BAABAA,BAAAABAAAA
BABABABAB,BAABAABAABAAB
AABAB,AAAABAAB
BAA,BAAAA
AB,AAB
AABBBABBA,AAAABBBAABBAA
BAAABBBBB,BAAAAAABBBBB
ABABBAAB,AABAABBAAAAB
AAAB,AAAAAAB
ABBBAA,AABBBAAAA
AAAAAA,AAAAAAAAAAAA
BBAAA,BBAAAAAA
ABBBABBBA,AABBBAABBBAA
BBBA,BBBAA
A,AA
AAB,AAAAB
BA,BAA
ABB,AABB
ABAA,AABAAAA
BBA,BBAA
A,AA
AAABBB,AAAAAABBB
BAABAB,BAAAABAAB
BBAA,BBAAAA
AAB,AAAAB
BB,BB
BAA,BAAAA
AABBBBBBB,AAAABBBBBBB
ABBA,AABBAA
BBAAAB,BBAAAAAAB
BBAA,BBAAAA
BABAB,BAABAAB
BAABBBA,BAAAABBBAA
B,B
BBBAB,BBBAAB
ABBB,AABBB
BB,BB
BABBBBBAB,BAABBBBBAAB
BBBAB,BBBAAB
AAAAB,AAAAAAAAB
BAA,BAAAA
BAB,BAAB
BABA,BAABAA
ABBA,AABBAA
BAABABBBA,BAAAABAABBBAA
AABABBAAA,AAAABAABBAAAAAA
BA,BAA
BB,BB
AABA,AAAABAA
AABAAAABA,AAAABAAAAAAAABAA
BB,BB
AABABAB,AAAABAABAAB
AABAAB,AAAABAAAAB
ABAABB,AABAAAABB
AB,AAB
AA,AAAA
BBBAAB,BBBAAAAB
BABBA,BAABBAA
AABBB,AAAABBB
AABABA,AAAABAABAA
BABABAA,BAABAABAAAA
BBAAABBB,BBAAAAAABBB
BB,BB
BAABBAA,BAAAABBAAAA
AAABAB,AAAAAABAAB
ABAABBAA,AABAAAABBAAAA
B,B
ABAB,AABAAB
ABABBB,AABAABBB
BBBBABAB,BBBBAABAAB
BABA,BAABAA
BB,BB
AABAABBAA,AAAABAAAABBAAAA
AB,AAB
AABBB,AAAABBB
BAABBAAAB,BAAAABBAAAAAAB
BBBAAAB,BBBAAAAAAB
BBAABABB,BBAAAABAABB
ABBAAB,AABBAAAAB
BBAAABBBA,BBAAAAAABBBAA
BBBBA,BBBBAA
ABBAA,AABBAAAA
BBABABB,BBAABAABB
BB,BB
ABAABB,AABAAAABB
BAABABAB,BAAAABAABAAB
BB,BB
AAAAAAA,AAAAAAAAAAAAAA
AAB,AAAAB
AAA,AAAAAA
ABBAB,AABBAAB
BBAABB,BBAAAABB
ABB,AABB
BBABBBBA,BBAABBBBAA
ABBBB,AABBBB
AAA,AAAAAA
AAB,AAAAB
AAB,AAAAB
BBAABAAA,BBAAAABAAAAAA
BBBAAB,BBBAAAAB
B,B
AAABABA,AAAAAABAABAA
BABA,BAABAA
AAA,AAAAAA
AABB,AAAABB
BA,BAA
ABBABAAA,AABBAABAAAAAA
ABBAAAAA,AABBAAAAAAAAAA
BBBAA,BBBAAAA
BBBA,BBBAA
BABAAA,BAABAAAAAA
BBBABB,BBBAABB
BABB,BAABB
AAA,AAAAAA
ABAABA,AABAAAABAA
BBB,BBB
ABBAABABB,AABBAAAABAABB
ABAA,AABAAAA
BAAAABAAA,BAAAAAAAABAAAAAA
BAAABA,BAAAAAABAA
AAAABA,AAAAAAAABAA
A,AA
ABBBABBB,AABBBAABBB
BABBB,BAABBB
BAAB,BAAAAB
BBAA,BBAAAA
BBABA,BBAABAA
AAAABBBB,AAAAAAAABBBB
BBBBBAB,BBBBBAAB
BBBBA,BBBBAA
AAABBAAAA,AAAAAABBAAAAAAAA
BAABAABA,BAAAABAAAABAA
BBABBBB,BBAABBBB
B,B
AABBB,AAAABBB
AABB,AAAABB
AB,AAB
BABA,BAABAA
BBABA,BBAABAA
ABBAABAB,AABBAAAABAAB
AB,AAB
BBBABB,BBBAABB
AAABBB,AAAAAABBB
AABAA,AAAABAAAA
BB,BB
ABABBAAB,AABAABBAAAAB
AAA,AAAAAA
AAAB,AAAAAAB
BBA,BBAA
ABBABAB,AABBAABAAB
BABAABBB,BAABAAAABBB
AAABB,AAAAAABB
B,B
BAA,BAAAA
ABA,AABAA
BBBAAA,BBBAAAAAA
AAA,AAAAAA
BABABB,BAABAABB
AABBAAAAB,AAAABBAAAAAAAAB
BBABAB,BBAABAAB
BBAA,BBAAAA
ABAABBBA,AABAAAABBBAA
BBB,BBB
ABBABABAB,AABBAABAABAAB
BABB,BAABB
AABAA,AAAABAAAA
BBAABB,BBAAAABB
